dataset,alpha,p_best_val_acc,p_e_star,p_final_gen_gap
Wine,0.0,0.2714,0.6378,0.1957
Wine,0.2,0.0461,0.4897,0.0684
Wine,0.4,0.4795,0.0664,0.3363
Wine,0.6,0.2568,0.4851,0.2568
Wine,0.8,0.6547,0.1005,0.6547
Wine,1.0,-,0.3281,-
BreastCancer,0.0,0.3006,0.0173,0.0392
BreastCancer,0.2,0.593,0.0131,0.0055
BreastCancer,0.4,0.4484,0.1483,0.0406
BreastCancer,0.6,0.5637,0.3181,0.0807
BreastCancer,0.8,0.1797,0.2832,0.106
BreastCancer,1.0,0.3173,0.6741,0.4142
Digits,0.0,0.0424,0.0002,0.0051
Digits,0.2,0.6777,0.0038,0.0759
Digits,0.4,0.1193,0.0004,0.025
Digits,0.6,0.1975,0.0045,0.0365
Digits,0.8,0.4825,0.0079,0.573
Digits,1.0,0.7912,0.001,0.6183
Glass,0.0,0.1477,0.0097,0.0054
Glass,0.2,0.4374,0.3438,0.0016
Glass,0.4,0.1301,0.8498,0.0168
Glass,0.6,0.1221,0.0746,0.1474
Glass,0.8,0.2315,0.3129,0.9519
Glass,1.0,0.2042,0.7218,0.9441
